剧本ID,剧本类别,剧本子类别,评估结果,badcase类别,环节,置信度,原因,轨迹文件,评判文件,是否选择
AUTO_工具调用超时重试_01,执行异常,工具调用超时重试,未评估,,,0,checker 暂不调用,results\trace_AUTO_工具调用超时重试_01_20260611_120617.json,,选择
AUTO_工具调用超时重试_02,执行异常,工具调用超时重试,未评估,,,0,checker 暂不调用,results\trace_AUTO_工具调用超时重试_02_20260611_120617.json,,不选择
AUTO_工具调用超时重试_03,执行异常,工具调用超时重试,未评估,,,0,checker 暂不调用,results\trace_AUTO_工具调用超时重试_03_20260611_120617.json,,选择
AUTO_工具调用超时重试_04,执行异常,工具调用超时重试,未评估,,,0,checker 暂不调用,results\trace_AUTO_工具调用超时重试_04_20260611_120617.json,,选择
AUTO_用户纠错_01,用户纠错,用户纠错,未评估,,,0,checker 暂不调用,results\trace_AUTO_用户纠错_01_20260611_120617.json,,不选择
AUTO_用户纠错_02,用户纠错,用户纠错,未评估,,,0,checker 暂不调用,results\trace_AUTO_用户纠错_02_20260611_120617.json,,选择
AUTO_用户纠错_03,用户纠错,用户纠错,未评估,,,0,checker 暂不调用,results\trace_AUTO_用户纠错_03_20260611_120617.json,,不选择
AUTO_用户纠错_04,用户纠错,用户纠错,未评估,,,0,checker 暂不调用,results\trace_AUTO_用户纠错_04_20260611_120617.json,,不选择
AUTO_错别字确认_01,用户纠错,错别字确认,未评估,,,0,checker 暂不调用,results\trace_AUTO_错别字确认_01_20260611_120617.json,,不选择
AUTO_错别字确认_02,用户纠错,错别字确认,未评估,,,0,checker 暂不调用,results\trace_AUTO_错别字确认_02_20260611_120617.json,,不选择
AUTO_错别字确认_03,用户纠错,错别字确认,未评估,,,0,checker 暂不调用,results\trace_AUTO_错别字确认_03_20260611_120617.json,,不选择
AUTO_错别字确认_04,用户纠错,错别字确认,未评估,,,0,checker 暂不调用,results\trace_AUTO_错别字确认_04_20260611_120617.json,,选择
AUTO_未确认金额直接执行购买_01,未遵循业务规则：Skill未执行确认金额操作,未确认金额直接执行购买,未评估,,,0,checker 暂不调用,results\trace_AUTO_未确认金额直接执行购买_01_20260611_120617.json,,选择
AUTO_未确认金额直接执行购买_02,未遵循业务规则：Skill未执行确认金额操作,未确认金额直接执行购买,未评估,,,0,checker 暂不调用,results\trace_AUTO_未确认金额直接执行购买_02_20260611_120617.json,,选择
AUTO_未确认金额直接执行修改_01,未遵循业务规则：Skill未执行确认金额操作,未确认金额直接执行修改,未评估,,,0,checker 暂不调用,results\trace_AUTO_未确认金额直接执行修改_01_20260611_120617.json,,选择
AUTO_未确认金额直接执行购买_03,未遵循业务规则：Skill未执行确认金额操作,未确认金额直接执行购买,未评估,,,0,checker 暂不调用,results\trace_AUTO_未确认金额直接执行购买_03_20260611_120617.json,,选择
AUTO_输入异常拦截-金额格式_01,通用规则：输入异常需拦截,输入异常拦截-金额格式,未评估,,,0,checker 暂不调用,results\trace_AUTO_输入异常拦截-金额格式_01_20260611_120617.json,,选择
AUTO_输入异常拦截-金额格式_02,通用规则：输入异常需拦截,输入异常拦截-金额格式,未评估,,,0,checker 暂不调用,results\trace_AUTO_输入异常拦截-金额格式_02_20260611_120617.json,,选择
AUTO_输入异常拦截-金额格式_03,通用规则：输入异常需拦截,输入异常拦截-金额格式,未评估,,,0,checker 暂不调用,results\trace_AUTO_输入异常拦截-金额格式_03_20260611_120617.json,,不选择
AUTO_输入异常拦截-金额格式_04,通用规则：输入异常需拦截,输入异常拦截-金额格式,未评估,,,0,checker 暂不调用,results\trace_AUTO_输入异常拦截-金额格式_04_20260611_120617.json,,不选择
